x y z
452421.786168 -0.226379 6985326.111218
903023.673185 -2.036000 6941524.435966
1349779.253083 0.064282 6868631.440621
1790905.939469 1.861400 6767026.862938
2224538.896733 0.589903 6637115.893755
2648895.473315 1.100092 6479453.311491
3062169.866813 1.704883 6294694.496323
3462617.062466 0.645830 6083606.373722
3848613.242308 1.248475 5847073.688057
4218472.894097 2.887428 5586096.468405
4570743.288518 -5.728915 5301745.527311
4903809.391459 -1.521727 4995241.144076
5216426.840482 -4.468924 4667835.321822
5507249.191305 -3.674398 4320900.204001
5775016.849788 -0.040706 3955905.335756
6018611.473647 3.809589 3574370.971361
6237049.664217 9.386265 3177878.188406
6429432.838400 -2.546268 2768097.329076
6594892.659207 9.208231 2346756.160272
6732778.366565 -2.845879 1915579.794559
6842534.797023 -3.839515 1476374.950675
6923670.765151 12.440701 1031015.291896
6975835.816874 -5.297717 581352.472112
6998802.244544 1.155197 129252.005605
6992526.170173 -0.264559 -323369.069332
6957032.735443 -6.168336 -774686.612151
6892353.915373 0.673311 -1222713.308255
6798939.236296 0.801906 -1665636.488036
6677063.767981 -5.417227 -2101629.760248
6527245.800399 -4.120622 -2528791.815874
6350153.417831 -3.176746 -2945411.719111
6146495.096481 -3.631719 -3349696.877160
5917162.522649 3.825950 -3739991.066841
5663038.182641 -5.568776 -4114625.356260
5385257.780594 -3.544836 -4472052.006145
5084938.626611 -7.469694 -4810728.398427
4763372.600798 -3.966980 -5129358.239222
4421876.378294 2.239828 -5426539.246997
4061865.408858 1.278311 -5700977.474103
3684876.698911 0.885865 -5951598.048699
3292518.457989 -8.233180 -6177324.775601
2886318.580018 1.951404 -6377238.812209
2468113.688999 -2.091032 -6550443.331455
2039555.089009 2.398416 -6696284.042803
1602462.445861 -0.996133 -6814118.082706
1158690.401801 -1.041860 -6903465.653883
710092.270511 -0.136221 -6963881.157473
258456.911549 -0.173452 -6995234.503829
-194227.853808 -0.381128 -6997314.156041
-646072.343927 -0.585618 -6970126.835167
-1095242.400467 -1.942418 -6913797.924652
-1539817.699153 1.902160 -6828550.636699
-1977976.393358 -1.445159 -6714698.534567
-2407855.067968 -0.701105 -6572831.690673
-2827648.527030 -2.722805 -6403491.370557
-3235616.965499 2.686408 -6207283.714311
-3630076.584034 4.811640 -5985201.344665
-4009346.924935 -1.508385 -5738037.634767
-4371841.691009 3.640970 -5466915.929401
-4716038.144906 -0.618849 -5172895.899555
-5040540.935919 -4.273025 -4857257.642531
-5343920.898891 5.396015 -4521276.836477
-5625012.537687 0.976993 -4166444.173511
-5882567.301554 -4.883256 -3794129.799385
-6115484.190453 -10.758423 -3405997.862904
-6322822.150626 5.393271 -3003598.148268
-6503757.440496 -6.615601 -2588657.582664
-6657461.087939 -7.650144 -2162840.690095
-6783371.443062 -3.018916 -1728012.059518
-6880875.910061 -0.316007 -1285966.545765
-6949607.611497 -3.411400 -838530.558072
-6989238.044563 10.031526 -387578.779347
-6999715.952756 -2.205642 64971.141328
-6980845.732170 8.261745 517286.946996
-6932832.383013 7.545491 967376.489278
-6855826.484922 -1.613768 1413445.790713
-6750086.458586 -11.688140 1853672.294596
-6616171.491534 -0.798575 2286072.645509
-6454589.786534 -3.649652 2708924.704987
-6266007.857964 2.888302 3120462.599714
-6051225.276644 4.442939 3518928.686644
-5811114.778295 2.381976 3902691.273027
-5546682.144414 -1.899037 4270149.293434
-5259074.659384 -0.988610 4619738.537865
-4949534.246468 -0.063776 4949976.851369
-4619214.957865 3.587334 5259546.652190
-4269589.939540 -4.301657 5547120.758220
-3902146.093459 -2.926745 5811480.153853
-3518326.675980 3.793432 6051549.410593
-3119868.743758 -2.536647 6266309.164298
-2708296.078173 0.576560 6454853.482593
-2285431.306798 -2.623402 6616409.676355
-1852988.265649 -1.126654 6750291.838943
-1412804.361533 -0.362657 6855942.722424
-966714.699345 -0.577861 6932924.130704
-516580.815353 -0.465243 6980907.925529
-64293.885799 0.075431 6999738.656483
388288.208615 0.022749 6989250.648859
839205.955076 -0.085398 6949508.534275
1286643.686073 -1.043153 6880740.567906
1728661.099949 1.519395 6783182.980393
2163507.608187 -0.525114 6657268.620006
2589294.870471 -2.396097 6503511.838800
3004206.042772 2.416718 6322550.471394
3406600.310904 -4.733002 6115152.964079
3794754.053997 7.522361 5882175.365549
4167014.828984 -4.792979 5624608.293253
4521816.705879 6.817413 5343508.993170
4857759.044399 -3.219030 5040062.691436
5173365.131559 1.877768 4715545.078880
5467373.277478 -8.795167 4371286.671776
5738432.673184 4.954601 4008772.432798
5985548.668279 -5.194283 3629481.679023
6207630.251296 10.502762 3235034.284744
6403750.000758 -1.167326 2827024.102196
6573099.336005 -8.885253 2407192.410477
6714934.139837 1.614637 1977313.883662
6828655.756240 -5.273413 1539162.267211
6913935.511869 4.346552 1094548.755004
6970188.444751 0.390133 645387.234711
6997330.885365 1.264237 193507.898352
6995207.470120 5.318040 -259138.957248
6963814.581325 -3.607582 -710742.305202
6903317.754708 15.342530 -1159356.631138
6813935.678148 -2.025791 -1603141.876683
6696078.556642 -0.746978 -2040205.086427
6550205.931648 -0.953166 -2468740.177667
6376934.736206 6.974769 -2886942.124137
6177026.422231 -1.474006 -3293100.961361
5951230.600410 -3.562586 -3685454.349068
5700600.158694 -0.695677 -4062427.088060
5426094.772328 -8.729841 -4422406.083654
5128904.684084 3.984073 -4763872.958886
4810267.061738 -0.179047 -5085430.018799
4471507.790437 -1.436072 -5385704.923704
4114038.316786 -1.661471 -5663428.218401
3739397.764200 5.829233 -5917505.790937
3349092.501890 2.130085 -6146850.545221
2944800.259281 0.148200 -6350410.769223
2528168.245794 -0.564835 -6527491.973561
2100970.978963 -1.046987 -6677222.751169
1664990.769818 -1.536302 -6799127.872395
1222052.404135 -1.249866 -6892512.495944
774001.492517 -0.610629 -6957079.332255
322705.636975 -0.264273 -6992571.929065
-129939.970586 0.032010 -6998814.651828
-582050.837612 -0.276234 -6975771.855936
-1031700.409507 0.560437 -6923545.734794
-1477041.960868 0.190927 -6842386.131137
-1916206.776907 -1.441497 -6732592.588264
-2347390.607990 3.315255 -6594688.876692
-2768731.872108 2.907587 -6429159.103443
-3178462.349510 2.026353 -6236767.795536
-3574944.894168 0.839175 -6018274.364485
-3956466.872718 -2.336524 -5774619.513363
-4321414.681618 3.920827 -5506803.993743
-4668316.025475 0.683030 -5215973.877560
-4995726.553566 9.837244 -4903364.954819
-5302205.445862 0.258183 -4570197.839633
-5586514.289406 3.296208 -4217948.692470
-5847465.071197 -6.275058 -3848013.411496
-6083953.718545 1.381836 -3462034.832957
-6294996.282155 -6.957076 -3061537.389589
-6479714.422972 -5.561399 -2648249.730271
-6637342.325497 -0.108135 -2223905.367127
-6767179.925398 4.689410 -1790258.571939
-6868767.421693 -5.736684 -1349123.408606
-6941586.517093 10.034343 -902307.452543
-6985421.432684 -1.779558 -451773.702346
-6999970.227332 3.740719 700.034567
-6985312.479885 -1.242330 453132.467707
-6941458.405337 10.447098 903659.514126
-6868522.244993 -6.540193 1350445.238389
-6766870.095327 -4.828822 1791554.333752
-6636883.447236 -2.047939 2225215.256270
-6479163.794823 3.334561 2649551.934290
-6294397.810305 -12.888641 3062762.451657
-6083290.238435 5.660581 3463203.684015
-5846702.054124 -1.306003 3849163.147884
-5585706.188244 -6.898417 4218996.507169
-5301319.355375 -4.132566 4571225.237527
-4994745.095643 2.050737 4904324.526209
-4667331.336594 -2.709543 5216902.288692
-4320376.603894 -1.614440 5507668.181116
-3955328.717827 2.238009 5775401.005582
-3573741.662716 -4.930788 6018983.028292
-3177241.643616 -0.166221 6237384.943335
-2767493.745574 0.584464 6429703.150835
-2346089.367187 0.623840 6595140.200012
-1914913.445230 -0.729589 6732986.188884
-1475703.649613 1.210421 6842673.922807
-1030355.523009 -0.478855 6923758.720841
-580662.914852 0.953748 6975857.964603
-128576.069626 -0.207458 6998826.212522
324076.570141 0.094333 6992518.358197
775345.948559 0.752957 6956924.037537
1223379.085452 0.731022 6892259.681720
1666344.676534 -3.137872 6798783.443821
2102232.960631 -0.548421 6676851.055317
2529484.584435 2.540620 6527019.275094
2946003.535202 6.716462 6349879.226548
3350301.167085 -3.110028 6146183.848649
3740523.948235 0.663696 5916788.237477
4115198.798794 -0.120431 5662628.175702
4472558.402821 -8.025504 5384810.035116
4811266.695881 -3.223682 5084464.856460
5129858.698030 6.862554 4762849.577808
5426915.735347 4.373082 4421341.176122
5701405.944060 2.664409 4061306.875890
5951921.129490 -14.170596 3684325.319169
6177643.427863 1.507536 3291897.285115
6377515.137722 2.195277 2885721.303586
6550698.346971 -8.141981 2467464.161700
6696503.009894 -2.869499 2038906.689934
6814248.652715 -0.260608 1601816.047066
6903544.861971 15.702390 1158003.384446
6963951.065337 -4.216210 709412.299310
6995224.032684 -0.502068 257800.049541
6997253.479290 -9.177758 -194891.251761
6970065.296329 -7.714991 -646765.782069
6913683.205809 -4.964645 -1095897.987634
6828395.329539 -0.294372 -1540507.566985
6714570.575197 -1.649747 -1978644.434201
6572607.875805 1.963221 -2408489.358947
6403206.773295 2.695477 -2828257.969941
6206980.259504 -6.387910 -3236222.832259
5984829.840565 6.134899 -3630628.241576
5737633.540808 -1.481126 -4009889.078695
5466485.086306 -2.974842 -4372398.697542
5172444.146597 1.465896 -4716584.424360
4856779.882599 1.144023 -5041011.285247
4520780.508397 2.137401 -5344416.495113
4165924.198595 1.230603 -5625419.255228
3793612.744780 -5.721939 -5882923.310781
3405416.937190 5.054809 -6115833.945374
3002989.317789 -4.881180 -6323128.608962
2587996.229113 3.014212 -6503996.789559
2162203.096320 0.516648 -6657682.888506
1727384.526299 2.072873 -6783509.275051
1285312.320913 0.829305 -6880998.268825
837865.200699 -0.244551 -6949680.493374
386923.964060 -0.221292 -6989288.900092
-65629.919829 -0.008225 -6999710.601573
-517946.047838 -0.057311 -6980783.480233
-968052.577554 -0.703518 -6932740.554392
-1414127.654789 0.445173 -6855672.623649
-1854297.592361 0.917718 -6749919.926860
-2286703.748481 -0.887829 -6615980.987352
-2709541.713203 -2.639497 -6454311.602996
-3121060.228722 -0.647077 -6265719.583082
-3519532.036467 4.983678 -6050890.921783
-3903253.917648 0.272096 -5810716.649429
-4270661.155788 -2.556977 -5546263.766923
-4620252.253172 1.836167 -5258632.790336
-4950467.243147 1.427539 -4949018.864475
-5259980.499188 -9.878172 -4618690.004414
-5547546.957827 -4.902278 -4269098.417964
-5811878.180091 0.058458 -3901563.810989
-6051894.680971 -5.388776 -3517760.116415
-6266573.543185 -3.591897 -3119243.942952
-6455108.991104 -4.383282 -2707644.531786
-6616640.940469 -6.783730 -2284794.485275
-6750478.529864 3.845477 -1852340.540333
-6856082.348850 -4.929389 -1412154.845551
-6933010.458910 5.457514 -966026.603743
-6980983.389644 0.174897 -515903.526403
-6999720.383363 -4.714244 -63604.986934
-6989200.099398 -0.163327 388943.524719
-6949436.798776 -5.586593 839873.556392
-6880608.492539 -0.920137 1287324.983361
-6783015.268588 -0.278631 1729350.465276
-6657084.056788 -10.291425 2164154.287677
-6503280.466024 0.270960 2589891.445238
-6322249.263307 -1.127345 3004843.135362
-6114822.808812 -6.397551 3407185.485458
-5881800.886172 -12.319402 3795308.236522
-5624164.711259 -11.930142 4167550.226194
-5343080.248152 -3.800171 4522342.126128
-5039576.932658 -4.960240 4858247.288884
-4715021.936808 -2.706839 5173826.552290
-4370791.340691 3.857957 5467758.204672
-4008231.149094 -6.602007 5738825.718534
-3628900.784570 -2.954073 5985900.982127
-3234392.661812 2.999180 6207939.440390
-2826422.106460 -0.270387 6404018.730855
-2406555.057789 1.148253 6573312.314256
-1976659.710114 -1.786254 6715117.149871
-1538503.208409 0.434473 6828837.708774
-1093883.067699 1.501869 6913993.224409
-644725.346609 0.027014 6970250.222185
-192850.342565 -0.103063 6997346.825802
259813.468224 -0.087576 6995138.886586
711418.508829 -0.426607 6963752.324031
1160057.793715 -0.783126 6903218.130717
1603813.010649 -0.081539 6813798.364914
2040835.800990 -0.382850 6695879.732967
2469381.486614 1.613271 6549972.506591
2887569.519334 0.474217 6376673.161053
3293718.556119 -3.475716 6176691.971227
3686065.955053 1.638157 5950886.716879
4063008.983601 -2.900852 5700188.828974
4422948.445412 -5.386761 5425654.995652
4764375.985555 0.348863 5128435.187268
5085882.268104 -3.014650 4809774.695829
5386115.860764 12.666493 4470986.094258
5663811.914097 2.445372 4113518.075937
5917843.302302 3.648241 3738831.827205
6147120.443582 4.723812 3348513.601533
6350729.520664 -16.444550 2944164.838665
6527773.899148 4.300136 2527537.284587
6677484.729019 -1.637292 2100323.287737
6799252.301639 0.790679 1664337.793441
6892628.648619 3.188663 1221368.941921
6957148.711173 1.371760 773326.060155
6992614.202777 8.748563 322033.274116
6998785.024251 -0.036534 -130618.212679
6975708.797655 4.498089 -582704.679727
6923471.504676 -2.533824 -1032379.914403
6842254.440986 -7.109503 -1477739.658130
6732435.405133 16.308251 -1916862.098952
6594455.392810 2.812317 -2348058.264403
6428902.889969 0.111172 -2769365.197337
6236489.757449 -0.835526 -3179120.811800
6017959.683048 2.008135 -3575542.320572
5774242.600005 4.190571 -3957040.962211
5506372.210084 7.837970 -4321980.422142
5215537.934476 -6.372077 -4668843.992048
4902860.396192 -1.113439 -4996194.211733
4569688.067624 0.133821 -5302654.232865
4217402.000469 -2.594988 -5586946.794442
3847464.592500 2.410183 -5847841.352646
3461431.621049 3.699779 -6084277.652829
3060931.604239 -4.351749 -6295280.601995
2647643.213221 5.011634 -6479941.811356
2223268.341573 -2.463147 -6637545.817067
1789600.686956 0.342475 -6767432.753591
1348431.564995 -1.172748 -6868871.135317
901634.994310 -0.228078 -6941670.857239
451111.372274 -0.409764 -6985424.051586
-1345.176738 0.001119 -7000005.090144
-453812.570685 -0.324426 -6985275.882382
-904351.186120 0.712468 -6941340.500552
-1351117.590643 -1.112235 -6868391.005586
-1792221.438786 -0.522657 -6766658.500226
-2225875.224290 0.774822 -6636728.824936
-2650149.141438 -0.402363 -6478912.911280
-3063372.873967 -5.131138 -6294116.845611
-3463779.961239 -0.619949 -6082896.794773
-3849755.380479 -6.925612 -5846300.427726
-4219579.492547 5.099701 -5585280.531987
-4571727.525396 5.676181 -5300863.524506
-4904814.289419 -2.020583 -4994265.096301
-5217375.722417 3.805176 -4666835.953748
-5508074.763861 -3.726465 -4319814.308693
-5775800.558082 -7.271364 -3954811.082186
-6019315.536981 4.666861 -3573172.456794
-6237694.158830 -3.485250 -3176637.452335
-6429969.397892 -5.234479 -2766806.477223
-6595312.962140 0.178904 -2345439.157626
-6733190.366592 -4.184812 -1914256.172100
-6842829.903541 -8.248690 -1475053.175074
-6923848.201838 -4.111007 -1029666.652008
-6975961.499358 7.076419 -580022.742469
-6998826.137885 3.305364 -127890.468774
-6992450.011302 -0.442039 324753.969351
-6956859.817708 2.448003 776018.232798
-6892135.328575 -1.793553 1224074.013449
-6798618.053130 -5.526636 1666982.944547
-6676642.969399 -7.245672 2102927.143687
-6526768.529170 -10.949621 2530053.904052
-6349598.836986 -9.706892 2946641.183186
-6145871.212668 0.589317 3350884.484771
-5916396.921993 -0.394038 3741127.420117
-5662246.993228 11.757054 4115699.269539
-5384377.971716 4.469170 4473082.401830
-5084005.507100 5.602510 4811753.479132
-4762341.240325 -1.695416 5130302.401237
-4420760.949343 -6.935922 5427398.302437
-4060735.406682 5.265189 5701774.036175
-3683757.654933 -3.916194 5952311.092840
-3291284.869520 -3.041530 6177971.665169
-2885098.868802 1.725745 6377786.531174
-2466873.489924 1.395871 6550936.546998
-2038225.873921 2.283491 6696671.804769
-1601134.899408 1.233831 6814413.259585
-1157362.520395 0.296737 6903666.797631
-708700.442001 -0.298341 6964021.272161
-257117.254410 -0.331883 6995298.918701
195571.791509 -0.004228 6997268.045162
647433.737498 -0.156926 6969993.555692
1096566.825055 -1.935292 6913560.729667
1541174.839744 -0.595582 6828245.886517
1979286.699964 1.737830 6714351.264020
2409117.815729 -2.911548 6572380.567474
2828942.824251 2.586016 6402920.312226
3236852.239143 -1.950356 6206683.351695
3631251.329833 4.709388 5984490.741696
4010420.760548 3.970414 5737273.847843
4372897.353778 -1.402798 5466053.304400
4717045.186049 9.318628 5171988.165741
5041484.224221 1.177653 4856282.999094
5344830.635420 -1.046322 4520256.260050
5625849.670265 2.531629 4165337.441910
5883295.833490 9.235515 3793008.668386
6116147.416927 -2.374302 3404802.470952
6323409.637759 7.818799 3002381.268045
6504282.489920 0.681611 2587367.782694
6657926.960090 4.691351 2161552.244204
6783697.480760 9.893926 1726704.292719
6881120.792506 -10.427874 1284636.969554
6949771.075611 5.728400 837164.676821
